,University,Country,uni-country,codes
303,Swedish University of Agricultural Sciences,Sweden,"Swedish University of Agricultural Sciences, SWE", SWE
304,United Arab Emirates University,United Arab Emirates,"United Arab Emirates University, ARE", ARE
305,Nagoya University,Japan,"Nagoya University, JPN", JPN
306,Southern University of Science and Technology (SUSTech),China,"Southern University of Science and Technology (SUSTech), CHN", CHN
307,University of Klagenfurt,Austria,"University of Klagenfurt, AUT", AUT
308,University of Tartu,Estonia,"University of Tartu, EST", EST
309,University of Texas at Dallas,United States,"University of Texas at Dallas, USA", USA
310,Boston College,United States,"Boston College, USA", USA
311,University of Malaya,Malaysia,"University of Malaya, MYS", MYS
312,University of Marburg,Germany,"University of Marburg, DEU", DEU
313,Maynooth University,Ireland,"Maynooth University, IRL", IRL
314,Tulane University,United States,"Tulane University, USA", USA
315,Cyprus University of Technology,Cyprus,"Cyprus University of Technology, CYP", CYP
316,Aix-Marseille University,France,"Aix-Marseille University, FRA", FRA
317,Grenoble Alpes University,France,"Grenoble Alpes University, FRA", FRA
318,University of LiïṡẄge,Belgium,"University of LiïṡẄge, BEL", BEL
319,Deakin University,Australia,"Deakin University, AUS", AUS
320,ReykjavïṡẄk University,Iceland,"ReykjavïṡẄk University, ISL", ISL
321,The University of Tennessee-Knoxville,United States,"The University of Tennessee-Knoxville, USA", USA
322,Jacobs University,Germany,"Jacobs University, DEU", DEU
323,University of Canterbury,New Zealand,"University of Canterbury, NZL", NZL
324,University of Milan,Italy,"University of Milan, ITA", ITA
325,Rush University,United States,"Rush University, USA", USA
326,Beijing Normal University,China,"Beijing Normal University, CHN", CHN
327,UmeïṡẄ University,Sweden,"UmeïṡẄ University, SWE", SWE
328,UniversitïṡẄ della Svizzera Italiana,Switzerland,"UniversitïṡẄ della Svizzera Italiana, CHE", CHE
329,University College Cork,Ireland,"University College Cork, IRL", IRL
330,Colorado School of Mines,United States,"Colorado School of Mines, USA", USA
331,Osaka University,Japan,"Osaka University, JPN", JPN
332,Montpellier University,France,"Montpellier University, FRA", FRA
333,University of Tasmania,Australia,"University of Tasmania, AUS", AUS
334,Polytechnic University of Milan,Italy,"Polytechnic University of Milan, ITA", ITA
335,Indian Institute of Technology Ropar,India,"Indian Institute of Technology Ropar, IND", IND
336,Victoria University,Australia,"Victoria University, AUS", AUS
337,University of Denver,United States,"University of Denver, USA", USA
338,State University of New York Albany,United States,"State University of New York Albany, USA", USA
339,University of Stirling,United Kingdom,"University of Stirling, GBR", GBR
340,Wayne State University,United States,"Wayne State University, USA", USA
341,"University of California, Merced",United States,"University of California, Merced, USA", Merced
342,TU Dortmund University,Germany,"TU Dortmund University, DEU", DEU
343,University of Turku,Finland,"University of Turku, FIN", FIN
344,Wuhan University,China,"Wuhan University, CHN", CHN
345,UniversitïṡẄ de Versailles Saint-Quentin-en-Yvelines,France,"UniversitïṡẄ de Versailles Saint-Quentin-en-Yvelines, FRA", FRA
346,Washington State University,United States,"Washington State University, USA", USA
347,University of Bremen,Germany,"University of Bremen, DEU", DEU
348,Vienna University of Technology,Austria,"Vienna University of Technology, AUT", AUT
349,"Birkbeck, University of London",United Kingdom,"Birkbeck, University of London, GBR", University of London
350,Khalifa University,United Arab Emirates,"Khalifa University, ARE", ARE
351,University of Kent,United Kingdom,"University of Kent, GBR", GBR
352,National Tsing Hua University,Taiwan,"National Tsing Hua University, TWN", TWN
353,"Goldsmiths, University of London",United Kingdom,"Goldsmiths, University of London, GBR", University of London
354,University of Iceland,Iceland,"University of Iceland, ISL", ISL
355,Nankai University,China,"Nankai University, CHN", CHN
356,University of Pisa,Italy,"University of Pisa, ITA", ITA
357,Taipei Medical University,Taiwan,"Taipei Medical University, TWN", TWN
358,University of Salerno,Italy,"University of Salerno, ITA", ITA
359,University of Manitoba,Canada,"University of Manitoba, CAN", CAN
360,Oregon State University,United States,"Oregon State University, USA", USA
361,University of Crete,Greece,"University of Crete, GRC", GRC
362,Hasselt University,Belgium,"Hasselt University, BEL", BEL
363,Loughborough University,United Kingdom,"Loughborough University, GBR", GBR
364,"University of Occupational and Environmental Health, Japan",Japan,"University of Occupational and Environmental Health, Japan, JPN", Japan
365,Babol Noshirvani University of Technology,Iran,"Babol Noshirvani University of Technology, IRN", IRN
366,University of Bayreuth,Germany,"University of Bayreuth, DEU", DEU
367,Brunel University London,United Kingdom,"Brunel University London, GBR", GBR
368,University of Florence,Italy,"University of Florence, ITA", ITA
369,Northumbria University,United Kingdom,"Northumbria University, GBR", GBR
370,Jordan University of Science and Technology,Jordan,"Jordan University of Science and Technology, JOR", JOR
371,University of Perugia,Italy,"University of Perugia, ITA", ITA
372,American University of Beirut,Lebanon,"American University of Beirut, LBN", LBN
373,Australian Catholic University,Australia,"Australian Catholic University, AUS", AUS
374,Clark University,United States,"Clark University, USA", USA
